PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
933,0,1,male,,0,0,113778,26.55,S
934,0,3,male,41.0,0,0,SOTON/O.Q. 3101263,7.85,S
935,1,2,female,30.0,0,0,237249,13.0,S
936,1,1,female,45.0,1,0,11753,52.5542,S
937,0,3,male,25.0,0,0,STON/O 2. 3101291,7.925,S
938,0,1,male,45.0,0,0,PC 17594,29.7,C
939,0,3,male,,0,0,370374,7.75,Q
940,1,1,female,60.0,0,0,11813,76.2917,C
941,1,3,female,36.0,0,2,C.A. 37671,15.9,S
942,0,1,male,24.0,1,0,13695,60.0,S
943,0,2,male,27.0,0,0,SC/PARIS 2168,15.0333,C
944,1,2,female,20.0,2,1,29105,23.0,S
945,1,1,female,28.0,3,2,19950,263.0,S
946,0,2,male,,0,0,SC/A.3 2861,15.5792,C
947,0,3,male,10.0,4,1,382652,29.125,Q
948,0,3,male,35.0,0,0,349230,7.8958,S
949,0,3,male,25.0,0,0,348122,7.65,S
950,0,3,male,,1,0,386525,16.1,S
951,1,1,female,36.0,0,0,PC 17608,262.375,C
952,0,3,male,17.0,0,0,349232,7.8958,S
953,0,2,male,32.0,0,0,237216,13.5,S
954,0,3,male,18.0,0,0,347090,7.75,S
955,1,3,female,22.0,0,0,334914,7.725,Q
956,0,1,male,13.0,2,2,PC 17608,262.375,C
957,1,2,female,,0,0,F.C.C. 13534,21.0,S
958,1,3,female,18.0,0,0,330963,7.8792,Q
959,0,1,male,47.0,0,0,113796,42.4,S
960,0,1,male,31.0,0,0,2543,28.5375,C
961,1,1,female,60.0,1,4,19950,263.0,S
962,1,3,female,24.0,0,0,382653,7.75,Q
963,0,3,male,21.0,0,0,349211,7.8958,S
964,1,3,female,29.0,0,0,3101297,7.925,S
965,0,1,male,28.5,0,0,PC 17562,27.7208,C
966,1,1,female,35.0,0,0,113503,211.5,C
967,0,1,male,32.5,0,0,113503,211.5,C
968,0,3,male,,0,0,359306,8.05,S
969,1,1,female,55.0,2,0,11770,25.7,S
970,0,2,male,30.0,0,0,248744,13.0,S
971,1,3,female,24.0,0,0,368702,7.75,Q
972,0,3,male,6.0,1,1,2678,15.2458,C
973,0,1,male,67.0,1,0,PC 17483,221.7792,S
974,0,1,male,49.0,0,0,19924,26.0,S
975,0,3,male,,0,0,349238,7.8958,S
976,0,2,male,,0,0,240261,10.7083,Q
977,0,3,male,,1,0,2660,14.4542,C
978,1,3,female,27.0,0,0,330844,7.8792,Q
979,1,3,female,18.0,0,0,A/4 31416,8.05,S
980,1,3,female,,0,0,364856,7.75,Q
981,0,2,male,2.0,1,1,29103,23.0,S
982,1,3,female,22.0,1,0,347072,13.9,S
983,0,3,male,,0,0,345498,7.775,S
984,1,1,female,27.0,1,2,F.C. 12750,52.0,S
985,0,3,male,,0,0,376563,8.05,S
986,0,1,male,25.0,0,0,13905,26.0,C
987,0,3,male,25.0,0,0,350033,7.7958,S
988,1,1,female,76.0,1,0,19877,78.85,S
989,0,3,male,29.0,0,0,STON/O 2. 3101268,7.925,S
990,1,3,female,20.0,0,0,347471,7.8542,S
991,0,3,male,33.0,0,0,A./5. 3338,8.05,S
992,1,1,female,43.0,1,0,11778,55.4417,C
993,0,2,male,27.0,1,0,228414,26.0,S
994,0,3,male,,0,0,365235,7.75,Q
995,0,3,male,26.0,0,0,347070,7.775,S
996,1,3,female,16.0,1,1,2625,8.5167,C
997,0,3,male,28.0,0,0,C 4001,22.525,S
998,0,3,male,21.0,0,0,330920,7.8208,Q
999,0,3,male,,0,0,383162,7.75,Q
1000,0,3,male,,0,0,3410,8.7125,S
1001,0,2,male,18.5,0,0,248734,13.0,S
1002,0,2,male,41.0,0,0,237734,15.0458,C
1003,1,3,female,,0,0,330968,7.7792,Q
1004,1,1,female,36.0,0,0,PC 17531,31.6792,C
1005,1,3,female,18.5,0,0,329944,7.2833,Q
1006,1,1,female,63.0,1,0,PC 17483,221.7792,S
1007,0,3,male,18.0,1,0,2680,14.4542,C
1008,0,3,male,,0,0,2681,6.4375,C
1009,1,3,female,1.0,1,1,PP 9549,16.7,S
1010,0,1,male,36.0,0,0,13050,75.2417,C
1011,1,2,female,29.0,1,0,SC/AH 29037,26.0,S
1012,1,2,female,12.0,0,0,C.A. 33595,15.75,S
1013,0,3,male,,1,0,367227,7.75,Q
1014,1,1,female,35.0,1,0,13236,57.75,C
1015,0,3,male,28.0,0,0,392095,7.25,S
1016,0,3,male,,0,0,368783,7.75,Q
1017,1,3,female,17.0,0,1,371362,16.1,S
1018,0,3,male,22.0,0,0,350045,7.7958,S
1019,1,3,female,,2,0,367226,23.25,Q
1020,0,2,male,42.0,0,0,211535,13.0,S
1021,0,3,male,24.0,0,0,342441,8.05,S
1022,0,3,male,32.0,0,0,STON/OQ. 369943,8.05,S
1023,0,1,male,53.0,0,0,113780,28.5,C
1024,1,3,female,,0,4,4133,25.4667,S
1025,0,3,male,,1,0,2621,6.4375,C
1026,0,3,male,43.0,0,0,349226,7.8958,S
1027,0,3,male,24.0,0,0,350409,7.8542,S
1028,0,3,male,26.5,0,0,2656,7.225,C
1029,0,2,male,26.0,0,0,248659,13.0,S
1030,1,3,female,23.0,0,0,SOTON/OQ 392083,8.05,S
1031,0,3,male,40.0,1,6,CA 2144,46.9,S
1032,1,3,female,10.0,5,2,CA 2144,46.9,S
1033,1,1,female,33.0,0,0,113781,151.55,S
1034,0,1,male,61.0,1,3,PC 17608,262.375,C
1035,0,2,male,28.0,0,0,244358,26.0,S
1036,0,1,male,42.0,0,0,17475,26.55,S
1037,0,3,male,31.0,3,0,345763,18.0,S
1038,0,1,male,,0,0,17463,51.8625,S
1039,0,3,male,22.0,0,0,SC/A4 23568,8.05,S
1040,0,1,male,,0,0,113791,26.55,S
1041,0,2,male,30.0,1,1,250651,26.0,S
1042,1,1,female,23.0,0,1,11767,83.1583,C
1043,0,3,male,,0,0,349255,7.8958,C
1044,0,3,male,60.5,0,0,3701,,S
1045,1,3,female,36.0,0,2,350405,12.1833,S
1046,0,3,male,13.0,4,2,347077,31.3875,S
1047,0,3,male,24.0,0,0,S.O./P.P. 752,7.55,S
1048,1,1,female,29.0,0,0,PC 17483,221.7792,S
1049,1,3,female,23.0,0,0,347469,7.8542,S
1050,0,1,male,42.0,0,0,110489,26.55,S
1051,1,3,female,26.0,0,2,SOTON/O.Q. 3101315,13.775,S
1052,1,3,female,,0,0,335432,7.7333,Q
1053,0,3,male,7.0,1,1,2650,15.2458,C
1054,1,2,female,26.0,0,0,220844,13.5,S
1055,0,3,male,,0,0,343271,7.0,S
1056,0,2,male,41.0,0,0,237393,13.0,S
1057,1,3,female,26.0,1,1,315153,22.025,S
1058,0,1,male,48.0,0,0,PC 17591,50.4958,C
1059,0,3,male,18.0,2,2,W./C. 6608,34.375,S
1060,1,1,female,,0,0,17770,27.7208,C
1061,1,3,female,22.0,0,0,7548,8.9625,S
1062,0,3,male,,0,0,S.O./P.P. 251,7.55,S
1063,0,3,male,27.0,0,0,2670,7.225,C
1064,0,3,male,23.0,1,0,347072,13.9,S
1065,0,3,male,,0,0,2673,7.2292,C
1066,0,3,male,40.0,1,5,347077,31.3875,S
1067,1,2,female,15.0,0,2,29750,39.0,S
1068,1,2,female,20.0,0,0,C.A. 33112,36.75,S
1069,0,1,male,54.0,1,0,11778,55.4417,C
1070,1,2,female,36.0,0,3,230136,39.0,S
1071,1,1,female,64.0,0,2,PC 17756,83.1583,C
1072,0,2,male,30.0,0,0,233478,13.0,S
1073,0,1,male,37.0,1,1,PC 17756,83.1583,C
1074,1,1,female,18.0,1,0,113773,53.1,S
1075,0,3,male,,0,0,7935,7.75,Q
1076,1,1,female,27.0,1,1,PC 17558,247.5208,C
1077,0,2,male,40.0,0,0,239059,16.0,S
1078,1,2,female,21.0,0,1,S.O./P.P. 2,21.0,S
1079,0,3,male,17.0,2,0,A/4 48873,8.05,S
1080,1,3,female,,8,2,CA. 2343,69.55,S
1081,0,2,male,40.0,0,0,28221,13.0,S
1082,0,2,male,34.0,1,0,226875,26.0,S
1083,0,1,male,,0,0,111163,26.0,S
1084,0,3,male,11.5,1,1,A/5. 851,14.5,S
1085,0,2,male,61.0,0,0,235509,12.35,Q
1086,0,2,male,8.0,0,2,28220,32.5,S
1087,0,3,male,33.0,0,0,347465,7.8542,S
1088,0,1,male,6.0,0,2,16966,134.5,C
1089,1,3,female,18.0,0,0,347066,7.775,S
1090,0,2,male,23.0,0,0,C.A. 31030,10.5,S
1091,1,3,female,,0,0,65305,8.1125,S
1092,1,3,female,,0,0,36568,15.5,Q
1093,0,3,male,0.33,0,2,347080,14.4,S
1094,0,1,male,47.0,1,0,PC 17757,227.525,C
1095,1,2,female,8.0,1,1,26360,26.0,S
1096,0,2,male,25.0,0,0,C.A. 34050,10.5,S
1097,0,1,male,,0,0,F.C. 12998,25.7417,C
1098,1,3,female,35.0,0,0,9232,7.75,Q
1099,0,2,male,24.0,0,0,28034,10.5,S
1100,1,1,female,33.0,0,0,PC 17613,27.7208,C
1101,0,3,male,25.0,0,0,349250,7.8958,S
1102,0,3,male,32.0,0,0,C 4001,22.525,S
1103,0,3,male,,0,0,SOTON/O.Q. 3101308,7.05,S
1104,0,2,male,17.0,0,0,S.O.C. 14879,73.5,S
1105,1,2,female,60.0,1,0,24065,26.0,S
1106,1,3,female,38.0,4,2,347091,7.775,S
1107,0,1,male,42.0,0,0,113038,42.5,S
1108,1,3,female,,0,0,330924,7.8792,Q
1109,0,1,male,57.0,1,1,36928,164.8667,S
1110,1,1,female,50.0,1,1,113503,211.5,C
1111,0,3,male,,0,0,32302,8.05,S
1112,1,2,female,30.0,1,0,SC/PARIS 2148,13.8583,C
1113,0,3,male,21.0,0,0,342684,8.05,S
1114,1,2,female,22.0,0,0,W./C. 14266,10.5,S
1115,0,3,male,21.0,0,0,350053,7.7958,S
1116,1,1,female,53.0,0,0,PC 17606,27.4458,C
1117,1,3,female,,0,2,2661,15.2458,C
1118,0,3,male,23.0,0,0,350054,7.7958,S
1119,1,3,female,,0,0,370368,7.75,Q
1120,0,3,male,40.5,0,0,C.A. 6212,15.1,S
1121,0,2,male,36.0,0,0,242963,13.0,S
1122,0,2,male,14.0,0,0,220845,65.0,S
1123,1,1,female,21.0,0,0,113795,26.55,S
1124,0,3,male,21.0,1,0,3101266,6.4958,S
1125,0,3,male,,0,0,330971,7.8792,Q
1126,0,1,male,39.0,1,0,PC 17599,71.2833,C
1127,0,3,male,20.0,0,0,350416,7.8542,S
1128,0,1,male,64.0,1,0,110813,75.25,C
1129,0,3,male,20.0,0,0,2679,7.225,C
1130,1,2,female,18.0,1,1,250650,13.0,S
1131,1,1,female,48.0,1,0,PC 17761,106.425,C
1132,1,1,female,55.0,0,0,112377,27.7208,C
1133,1,2,female,45.0,0,2,237789,30.0,S
1134,0,1,male,45.0,1,1,16966,134.5,C
1135,0,3,male,,0,0,3470,7.8875,S
1136,0,3,male,,1,2,W./C. 6607,23.45,S
1137,0,1,male,41.0,1,0,17464,51.8625,S
1138,1,2,female,22.0,0,0,F.C.C. 13534,21.0,S
1139,0,2,male,42.0,1,1,28220,32.5,S
1140,1,2,female,29.0,1,0,26707,26.0,S
1141,1,3,female,,1,0,2660,14.4542,C
1142,1,2,female,0.92,1,2,C.A. 34651,27.75,S
1143,0,3,male,20.0,0,0,SOTON/O2 3101284,7.925,S
1144,0,1,male,27.0,1,0,13508,136.7792,C
1145,0,3,male,24.0,0,0,7266,9.325,S
1146,0,3,male,32.5,0,0,345775,9.5,S
1147,0,3,male,,0,0,C.A. 42795,7.55,S
1148,0,3,male,,0,0,AQ/4 3130,7.75,Q
1149,0,3,male,28.0,0,0,363611,8.05,S
1150,1,2,female,19.0,0,0,28404,13.0,S
1151,0,3,male,21.0,0,0,345501,7.775,S
1152,0,3,male,36.5,1,0,345572,17.4,S
1153,0,3,male,21.0,0,0,350410,7.8542,S
1154,1,2,female,29.0,0,2,29103,23.0,S
1155,1,3,female,1.0,1,1,350405,12.1833,S
1156,0,2,male,30.0,0,0,C.A. 34644,12.7375,C
1157,0,3,male,,0,0,349235,7.8958,S
1158,0,1,male,,0,0,112051,0.0,S
1159,0,3,male,,0,0,C.A. 49867,7.55,S
1160,1,3,female,,0,0,A. 2. 39186,8.05,S
1161,0,3,male,17.0,0,0,315095,8.6625,S
1162,0,1,male,46.0,0,0,13050,75.2417,C
1163,0,3,male,,0,0,368573,7.75,Q
1164,1,1,female,26.0,1,0,13508,136.7792,C
1165,1,3,female,,1,0,370371,15.5,Q
1166,0,3,male,,0,0,2676,7.225,C
1167,1,2,female,20.0,1,0,236853,26.0,S
1168,0,2,male,28.0,0,0,SC 14888,10.5,S
1169,0,2,male,40.0,1,0,2926,26.0,S
1170,0,2,male,30.0,1,0,CA 31352,21.0,S
1171,0,2,male,22.0,0,0,W./C. 14260,10.5,S
1172,1,3,female,23.0,0,0,315085,8.6625,S
1173,0,3,male,0.75,1,1,SOTON/O.Q. 3101315,13.775,S
1174,1,3,female,,0,0,364859,7.75,Q
1175,1,3,female,9.0,1,1,2650,15.2458,C
1176,1,3,female,2.0,1,1,370129,20.2125,S
1177,0,3,male,36.0,0,0,A/5 21175,7.25,S
1178,0,3,male,,0,0,SOTON/O.Q. 3101314,7.25,S
1179,0,1,male,24.0,1,0,21228,82.2667,S
1180,0,3,male,,0,0,2655,7.2292,C
1181,0,3,male,,0,0,A/5 1478,8.05,S
1182,0,1,male,,0,0,PC 17607,39.6,S
1183,1,3,female,30.0,0,0,382650,6.95,Q
1184,0,3,male,,0,0,2652,7.2292,C
1185,0,1,male,53.0,1,1,33638,81.8583,S
1186,0,3,male,36.0,0,0,345771,9.5,S
1187,0,3,male,26.0,0,0,349202,7.8958,S
1188,1,2,female,1.0,1,2,SC/Paris 2123,41.5792,C
1189,0,3,male,,2,0,2662,21.6792,C
1190,0,1,male,30.0,0,0,113801,45.5,S
1191,0,3,male,29.0,0,0,347467,7.8542,S
1192,0,3,male,32.0,0,0,347079,7.775,S
1193,0,2,male,,0,0,237735,15.0458,C
1194,0,2,male,43.0,0,1,S.O./P.P. 2,21.0,S
1195,0,3,male,24.0,0,0,315092,8.6625,S
1196,1,3,female,,0,0,383123,7.75,Q
1197,1,1,female,64.0,1,1,112901,26.55,S
1198,0,1,male,30.0,1,2,113781,151.55,S
1199,0,3,male,0.83,0,1,392091,9.35,S
1200,0,1,male,55.0,1,1,12749,93.5,S
1201,1,3,female,45.0,1,0,350026,14.1083,S
1202,0,3,male,18.0,0,0,315091,8.6625,S
1203,0,3,male,22.0,0,0,2658,7.225,C
1204,0,3,male,,0,0,LP 1588,7.575,S
1205,1,3,female,37.0,0,0,368364,7.75,Q
1206,1,1,female,55.0,0,0,PC 17760,135.6333,C
1207,1,3,female,17.0,0,0,AQ/3. 30631,7.7333,Q
1208,0,1,male,57.0,1,0,PC 17569,146.5208,C
1209,0,2,male,19.0,0,0,28004,10.5,S
1210,0,3,male,27.0,0,0,350408,7.8542,S
1211,0,2,male,22.0,2,0,C.A. 31029,31.5,S
1212,0,3,male,26.0,0,0,347075,7.775,S
1213,0,3,male,25.0,0,0,2654,7.2292,C
1214,0,2,male,26.0,0,0,244368,13.0,S
1215,0,1,male,33.0,0,0,113790,26.55,S
1216,1,1,female,39.0,0,0,24160,211.3375,S
1217,0,3,male,23.0,0,0,SOTON/O.Q. 3101309,7.05,S
1218,1,2,female,12.0,2,1,230136,39.0,S
1219,0,1,male,46.0,0,0,PC 17585,79.2,C
1220,0,2,male,29.0,1,0,2003,26.0,S
1221,0,2,male,21.0,0,0,236854,13.0,S
1222,1,2,female,48.0,0,2,C.A. 33112,36.75,S
1223,0,1,male,39.0,0,0,PC 17580,29.7,C
1224,0,3,male,,0,0,2684,7.225,C
1225,1,3,female,19.0,1,1,2653,15.7417,C
1226,0,3,male,27.0,0,0,349229,7.8958,S
1227,0,1,male,30.0,0,0,110469,26.0,S
1228,0,2,male,32.0,0,0,244360,13.0,S
1229,0,3,male,39.0,0,2,2675,7.2292,C
1230,0,2,male,25.0,0,0,C.A. 31029,31.5,S
1231,0,3,male,,0,0,2622,7.2292,C
1232,0,2,male,18.0,0,0,C.A. 15185,10.5,S
1233,0,3,male,32.0,0,0,350403,7.5792,S
1234,0,3,male,,1,9,CA. 2343,69.55,S
1235,1,1,female,58.0,0,1,PC 17755,512.3292,C
1236,0,3,male,,1,1,A/5. 851,14.5,S
1237,1,3,female,16.0,0,0,348125,7.65,S
1238,0,2,male,26.0,0,0,237670,13.0,S
1239,1,3,female,38.0,0,0,2688,7.2292,C
1240,0,2,male,24.0,0,0,248726,13.5,S
1241,1,2,female,31.0,0,0,F.C.C. 13528,21.0,S
1242,1,1,female,45.0,0,1,PC 17759,63.3583,C
1243,0,2,male,25.0,0,0,F.C.C. 13540,10.5,S
1244,0,2,male,18.0,0,0,S.O.C. 14879,73.5,S
1245,0,2,male,49.0,1,2,220845,65.0,S
1246,1,3,female,0.17,1,2,C.A. 2315,20.575,S
1247,0,1,male,50.0,0,0,113044,26.0,S
1248,1,1,female,59.0,2,0,11769,51.4792,S
1249,0,3,male,,0,0,1222,7.8792,S
1250,0,3,male,,0,0,368402,7.75,Q
1251,1,3,female,30.0,1,0,349910,15.55,S
1252,0,3,male,14.5,8,2,CA. 2343,69.55,S
1253,1,2,female,24.0,1,1,S.C./PARIS 2079,37.0042,C
1254,1,2,female,31.0,0,0,CA 31352,21.0,S
1255,0,3,male,27.0,0,0,315083,8.6625,S
1256,1,1,female,25.0,1,0,11765,55.4417,C
1257,1,3,female,,1,9,CA. 2343,69.55,S
1258,0,3,male,,1,0,2689,14.4583,C
1259,1,3,female,22.0,0,0,3101295,39.6875,S
1260,1,1,female,45.0,0,1,112378,59.4,C
1261,0,2,male,29.0,0,0,SC/PARIS 2147,13.8583,C
1262,0,2,male,21.0,1,0,28133,11.5,S
1263,1,1,female,31.0,0,0,16966,134.5,C
1264,0,1,male,49.0,0,0,112058,0.0,S
1265,0,2,male,44.0,0,0,248746,13.0,S
1266,1,1,female,54.0,1,1,33638,81.8583,S
1267,1,1,female,45.0,0,0,PC 17608,262.375,C
1268,1,3,female,22.0,2,0,315152,8.6625,S
1269,0,2,male,21.0,0,0,29107,11.5,S
1270,0,1,male,55.0,0,0,680,50.0,S
1271,0,3,male,5.0,4,2,347077,31.3875,S
1272,0,3,male,,0,0,366713,7.75,Q
1273,0,3,male,26.0,0,0,330910,7.8792,Q
1274,1,3,female,,0,0,364498,14.5,S
1275,1,3,female,19.0,1,0,376566,16.1,S
1276,0,2,male,,0,0,SC/PARIS 2159,12.875,S
1277,1,2,female,24.0,1,2,220845,65.0,S
1278,0,3,male,24.0,0,0,349911,7.775,S
1279,0,2,male,57.0,0,0,244346,13.0,S
1280,0,3,male,21.0,0,0,364858,7.75,Q
1281,0,3,male,6.0,3,1,349909,21.075,S
1282,0,1,male,23.0,0,0,12749,93.5,S
1283,1,1,female,51.0,0,1,PC 17592,39.4,S
1284,0,3,male,13.0,0,2,C.A. 2673,20.25,S
1285,0,2,male,47.0,0,0,C.A. 30769,10.5,S
1286,0,3,male,29.0,3,1,315153,22.025,S
1287,1,1,female,18.0,1,0,13695,60.0,S
1288,0,3,male,24.0,0,0,371109,7.25,Q
1289,1,1,female,48.0,1,1,13567,79.2,C
1290,0,3,male,22.0,0,0,347065,7.775,S
1291,0,3,male,31.0,0,0,21332,7.7333,Q
1292,1,1,female,30.0,0,0,36928,164.8667,S
1293,0,2,male,38.0,1,0,28664,21.0,S
1294,1,1,female,22.0,0,1,112378,59.4,C
1295,0,1,male,17.0,0,0,113059,47.1,S
1296,0,1,male,43.0,1,0,17765,27.7208,C
1297,0,2,male,20.0,0,0,SC/PARIS 2166,13.8625,C
1298,0,2,male,23.0,1,0,28666,10.5,S
1299,0,1,male,50.0,1,1,113503,211.5,C
1300,1,3,female,,0,0,334915,7.7208,Q
1301,1,3,female,3.0,1,1,SOTON/O.Q. 3101315,13.775,S
1302,1,3,female,,0,0,365237,7.75,Q
1303,1,1,female,37.0,1,0,19928,90.0,Q
1304,1,3,female,28.0,0,0,347086,7.775,S
1305,0,3,male,,0,0,A.5. 3236,8.05,S
1306,1,1,female,39.0,0,0,PC 17758,108.9,C
1307,0,3,male,38.5,0,0,SOTON/O.Q. 3101262,7.25,S
1308,0,3,male,,0,0,359309,8.05,S
1309,0,3,male,,1,1,2668,22.3583,C
